,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
1 Aug 2018,4.0650,5.3300,4.7479,3.6291,4.0961,3.0105,3.1219,2.9837,51.7841
2 Aug 2018,4.0730,5.3283,4.7328,3.6503,4.0951,3.0022,3.1278,2.9808,51.8867
3 Aug 2018,4.0800,5.3016,4.7242,3.6513,4.1009,3.0012,3.1324,2.9779,51.9778
6 Aug 2018,4.0770,5.2842,4.7118,3.6650,4.0950,3.0137,3.1325,2.9822,51.9403
7 Aug 2018,4.0740,5.2819,4.7201,3.6607,4.0932,3.0282,3.1418,2.9831,51.9007
8 Aug 2018,4.0720,5.2545,4.7186,3.6691,4.0863,3.0182,3.1127,2.9847,51.8733
9 Aug 2018,4.0730,5.2468,4.7206,3.6647,4.0968,3.0242,3.1297,2.9880,51.8860
10 Aug 2018,4.0850,5.2104,4.6798,3.6842,4.1076,2.9816,3.1143,2.9778,52.0376
13 Aug 2018,4.0900,5.2172,4.6548,3.7050,4.1106,2.9738,3.1086,2.9720,52.1012
14 Aug 2018,4.0950,5.2281,4.6617,3.6869,4.1222,2.9705,3.1248,2.9788,52.1623
15 Aug 2018,4.1000,5.2103,4.6424,3.6834,4.1103,2.9618,3.1348,2.9710,52.2273
16 Aug 2018,4.1000,5.2103,4.6658,3.7000,4.1281,2.9795,3.1233,2.9792,52.2313
17 Aug 2018,4.1010,5.2136,4.6731,3.7029,4.1154,2.9835,3.1201,2.9843,52.2427
20 Aug 2018,4.0970,5.2171,4.6726,3.7023,4.1118,2.9924,3.1359,2.9864,52.1891
21 Aug 2018,4.0940,5.2526,4.7212,3.7151,4.1467,3.0140,3.1434,2.9953,52.1542
23 Aug 2018,4.1030,5.2818,4.7439,3.7007,4.1740,2.9940,3.1484,2.9940,52.2675
24 Aug 2018,4.1070,5.2705,4.7485,3.6854,4.1704,2.9883,3.1397,2.9947,52.3185
27 Aug 2018,4.0970,5.2605,4.7558,3.6847,4.1649,2.9941,3.1438,2.9969,52.1911
28 Aug 2018,4.0940,5.2833,4.7855,3.6853,4.1895,3.0070,3.1597,3.0034,52.1529
29 Aug 2018,4.1030,5.2822,4.7870,3.6891,4.1992,2.9960,3.1720,3.0023,52.2688
30 Aug 2018,4.1090,5.3433,4.8014,3.6822,4.2365,2.9942,3.1779,3.0063,52.3459
3 Sep 2018,4.1270,5.3205,4.7914,3.7173,4.2511,2.9756,3.1615,3.0102,52.5739
4 Sep 2018,4.1370,5.3082,4.7844,3.7120,4.2527,2.9671,3.1484,3.0061,52.7040
5 Sep 2018,4.1460,5.3139,4.7961,3.7167,4.2532,2.9735,3.1450,3.0065,52.8180
6 Sep 2018,4.1440,5.3611,4.8211,3.7209,4.2730,2.9816,3.1463,3.0134,52.7905
7 Sep 2018,4.1430,5.3619,4.8241,3.7415,4.2928,2.9656,3.1539,3.0122,52.7777
12 Sep 2018,4.1420,5.3933,4.7985,3.7145,4.2495,2.9491,3.1718,3.0100,52.7677
13 Sep 2018,4.1450,5.4051,4.8140,3.7172,4.2706,2.9778,3.1865,3.0203,52.8079
14 Sep 2018,4.1370,5.4323,4.8411,3.6987,4.2902,2.9807,3.1813,3.0226,52.7127
18 Sep 2018,4.1430,5.4427,4.8419,3.7001,4.3129,2.9850,3.1806,3.0236,52.8168
19 Sep 2018,4.1420,5.4650,4.8461,3.6857,4.2900,3.0005,3.1977,3.0251,52.7973
20 Sep 2018,4.1350,5.4532,4.8342,3.6831,4.2783,3.0024,3.1995,3.0205,52.7107
21 Sep 2018,4.1260,5.4521,4.8650,3.6620,4.3173,3.0107,3.1960,3.0269,52.8047
24 Sep 2018,4.1310,5.4190,4.8609,3.6658,4.3058,3.0041,3.1917,3.0268,52.8964
25 Sep 2018,4.1340,5.4325,4.8608,3.6620,4.2764,2.9934,3.1876,3.0255,52.9348
26 Sep 2018,4.1390,5.4511,4.8695,3.6664,4.2873,3.0041,3.1954,3.0322,52.9819
27 Sep 2018,4.1380,5.4299,4.8460,3.6701,4.2651,2.9926,3.1682,3.0313,52.9461
28 Sep 2018,4.1350,5.4040,4.8016,3.6432,4.2310,2.9851,3.1764,3.0231,52.8475
1 Oct 2018,4.1400,5.4052,4.8053,3.6329,4.2052,2.9866,3.2308,3.0206,52.8850
2 Oct 2018,4.1410,5.3696,4.7675,3.6436,4.2113,2.9670,3.2258,3.0079,52.8377
3 Oct 2018,4.1370,5.3843,4.7882,3.6337,4.1974,2.9621,3.2240,3.0096,52.7955
4 Oct 2018,4.1450,5.3719,4.7609,3.6252,4.1784,2.9322,3.2169,3.0006,52.9016
5 Oct 2018,4.1440,5.4000,4.7619,3.6392,4.1678,2.9273,3.2032,2.9975,52.8936
8 Oct 2018,4.1530,5.4213,4.7643,3.6655,4.1852,2.9283,3.1936,2.9960,53.0403
9 Oct 2018,4.1530,5.4255,4.7664,3.6697,4.1789,2.9374,3.2015,2.9977,53.0145
10 Oct 2018,4.1515,5.4530,4.7680,3.6674,4.1803,2.9434,3.2028,3.0014,52.9738
11 Oct 2018,4.1580,5.4848,4.8004,3.7036,4.2042,2.9455,3.1852,3.0091,53.0567
12 Oct 2018,4.1530,5.4882,4.8117,3.6994,4.1924,2.9574,3.1892,3.0149,53.0003
15 Oct 2018,4.1550,5.4563,4.8078,3.7208,4.1999,2.9646,3.1910,3.0163,53.0116
16 Oct 2018,4.1510,5.4768,4.8102,3.7020,4.2035,2.9555,3.1985,3.0150,52.9633
17 Oct 2018,4.1480,5.4517,4.7963,3.6966,4.1848,2.9658,3.2043,3.0183,52.9163
18 Oct 2018,4.1560,5.4473,4.7860,3.6919,4.1815,2.9674,3.1886,3.0160,53.0143
19 Oct 2018,4.1560,5.4165,4.7574,3.6959,4.1710,2.9553,3.1839,3.0125,53.0116
22 Oct 2018,4.1570,5.4245,4.7868,3.6863,4.1695,2.9540,3.1767,3.0176,53.0263
23 Oct 2018,4.1615,5.4058,4.7716,3.7073,4.1820,2.9455,3.1770,3.0184,53.0837
24 Oct 2018,4.1620,5.3827,4.7513,3.6996,4.1733,2.9463,3.1771,3.0166,53.0773
25 Oct 2018,4.1700,5.3806,4.7571,3.7129,4.1779,2.9486,3.2003,3.0217,53.1915
26 Oct 2018,4.1730,5.3506,4.7480,3.7256,4.1709,2.9349,3.1758,3.0182,53.2243
29 Oct 2018,4.1780,5.3516,4.7558,3.7317,4.1788,2.9630,3.1876,3.0210,53.2657
30 Oct 2018,4.1770,5.3374,4.7518,3.7017,4.1649,2.9607,3.1847,3.0181,53.2414
31 Oct 2018,4.1820,5.3300,4.7474,3.6966,4.1658,2.9642,3.1868,3.0188,53.3017
1 Nov 2018,4.1790,5.3938,4.7544,3.7015,4.1665,2.9884,3.1864,3.0274,53.3077
